1.04,-18.33
1.03,-18.33
1.03,-18.34
1.02,-18.34
1.02,-18.35
1.01,-18.35
1.01,-18.36
1.00,-18.37
1.00,-18.37
0.99,-18.38
0.99,-18.38
0.98,-18.39
0.98,-18.40
0.97,-18.40
0.97,-18.41
0.96,-18.41
0.96,-18.42
0.95,-18.42
0.95,-18.43
0.94,-18.44
0.94,-18.44
0.93,-18.45
0.93,-18.45
0.92,-18.46
0.92,-18.47
0.91,-18.47
0.91,-18.48
0.90,-18.48
0.90,-18.49
0.89,-18.49
0.89,-18.50
0.88,-18.51
0.88,-18.51
0.87,-18.52
0.87,-18.52
0.86,-18.53
0.86,-18.54
0.85,-18.54
0.85,-18.55
0.84,-18.55
0.84,-18.56
0.83,-18.56
0.83,-18.57
0.83,-18.58
0.82,-18.58
0.82,-18.59
0.81,-18.59
0.81,-18.60
0.80,-18.61
0.80,-18.61
0.79,-18.62
0.79,-18.62
0.78,-18.63
0.78,-18.63
0.77,-18.64
0.77,-18.65
0.76,-18.65
0.76,-18.66
0.75,-18.66
0.75,-18.67
0.74,-18.68
0.74,-18.68
0.73,-18.69
0.73,-18.69
0.72,-18.70
0.72,-18.70
0.71,-18.71
0.71,-18.72
0.70,-18.72
0.70,-18.73
0.69,-18.73
0.69,-18.74
0.68,-18.74
0.68,-18.75
0.67,-18.76
0.67,-18.76
0.66,-18.77
0.66,-18.77
0.65,-18.78
0.65,-18.79
0.64,-18.79
0.64,-18.80
0.63,-18.80
0.63,-18.81
0.62,-18.81
0.62,-18.82
0.62,-18.83
0.61,-18.83
0.61,-18.84
0.60,-18.84
0.60,-18.85
0.59,-18.86
0.59,-18.86
0.58,-18.87
0.58,-18.87
0.57,-18.88
0.57,-18.88
0.56,-18.89
0.56,-18.90
0.55,-18.90
0.55,-18.91
0.54,-18.91
0.54,-18.91
0.54,-18.92
0.53,-18.92
0.53,-18.93
0.53,-18.93
0.52,-18.93
0.52,-18.94
0.52,-18.94
0.51,-18.95
0.51,-18.95
0.51,-18.95
0.50,-18.96
0.50,-18.96
0.50,-18.97
0.49,-18.97
0.49,-18.97
0.49,-18.98
0.48,-18.98
0.48,-18.99
0.48,-18.99
0.47,-18.99
0.47,-19.00
0.47,-19.00
0.46,-19.01
0.46,-19.01
0.46,-19.01
0.45,-19.02
0.45,-19.02
0.45,-19.03
0.44,-19.03
0.44,-19.03
0.44,-19.04
0.43,-19.04
0.43,-19.04
0.43,-19.05
0.42,-19.05
0.42,-19.06
0.42,-19.06
0.41,-19.06
0.41,-19.07
0.41,-19.07
0.40,-19.08
0.40,-19.08
0.40,-19.08
0.39,-19.09
0.39,-19.09
0.39,-19.10
0.38,-19.10
0.38,-19.10
0.38,-19.11
0.37,-19.11
0.37,-19.12
0.37,-19.12
0.36,-19.12
0.36,-19.13
0.36,-19.13
0.35,-19.14
0.35,-19.14
0.35,-19.14
0.34,-19.15
0.34,-19.15
0.34,-19.16
0.33,-19.16
0.33,-19.16
0.33,-19.17
0.32,-19.17
0.32,-19.17
0.32,-19.18
0.31,-19.18
0.31,-19.19
0.31,-19.19
0.30,-19.19
0.30,-19.20
0.30,-19.20
0.29,-19.21
0.29,-19.21
0.29,-19.21
0.28,-19.22
0.28,-19.22
0.27,-19.23
0.27,-19.23
0.27,-19.23
0.26,-19.24
0.26,-19.24
0.26,-19.24
0.25,-19.25
0.25,-19.25
0.25,-19.26
0.24,-19.26
0.24,-19.26
0.24,-19.27
0.23,-19.27
0.23,-19.28
0.23,-19.28
0.22,-19.28
0.22,-19.29
0.22,-19.29
0.21,-19.29
0.18,-19.33
0.15,-19.36
0.12,-19.40
0.09,-19.43
0.06,-19.46
0.02,-19.49
-0.01,-19.53
-0.04,-19.56
-0.07,-19.59
-0.11,-19.62
-0.14,-19.65
-0.17,-19.68
-0.21,-19.71
-0.24,-19.74
-0.27,-19.77
-0.31,-19.80
-0.34,-19.83
-0.38,-19.86
-0.41,-19.89
-0.45,-19.92
-0.48,-19.95
-0.52,-19.98
-0.56,-20.01
-0.59,-20.03
-0.63,-20.06
-0.67,-20.09
-0.70,-20.11
-0.74,-20.14
-0.78,-20.17
-0.81,-20.19
-0.85,-20.22
-0.89,-20.24
-0.93,-20.27
-0.97,-20.29
-1.00,-20.32
-1.04,-20.34
-1.08,-20.37
-1.12,-20.39
-1.16,-20.41
-1.20,-20.44
-1.24,-20.46
-1.28,-20.48
-1.32,-20.50
-1.36,-20.52
-1.40,-20.55
-1.44,-20.57
-1.48,-20.59
-1.52,-20.61
-1.56,-20.63
-1.60,-20.65
-1.65,-20.67
-1.69,-20.69
-1.73,-20.71
-1.77,-20.72
-1.81,-20.74
-1.85,-20.76
-1.90,-20.78
-1.94,-20.79
-1.98,-20.81
-2.02,-20.83
-2.07,-20.84
-2.11,-20.86
-2.15,-20.88
-2.19,-20.89
-2.24,-20.91
-2.28,-20.92
-2.32,-20.93
-2.37,-20.95
-2.41,-20.96
-2.45,-20.97
-2.50,-20.99
-2.54,-21.00
-2.59,-21.01
-2.63,-21.02
-2.67,-21.03
-2.72,-21.05
-2.76,-21.06
-2.81,-21.07
-2.85,-21.08
-2.90,-21.09
-2.94,-21.10
-2.99,-21.10
-3.03,-21.11
-3.08,-21.12
-3.12,-21.13
-3.17,-21.14
-3.21,-21.14
-3.26,-21.15
-3.30,-21.16
-3.35,-21.16
-3.39,-21.17
-3.44,-21.17
-3.48,-21.18
-3.53,-21.18
-3.57,-21.19
-3.62,-21.19
-3.66,-21.20
-3.71,-21.20
-3.75,-21.20
-3.80,-21.20
-3.81,-21.20
-3.81,-21.20
-3.82,-21.20
-3.82,-21.20
-3.83,-21.21
-3.83,-21.21
-3.84,-21.21
-3.84,-21.21
-3.85,-21.21
