[CARLA]Idx,[CARLA]Fps
0,46.17396789268963
1,60.332159738637124
2,49.21248985149379
3,65.61812678881418
4,47.101756888073005
5,51.151622901505064
6,53.119125573629084
7,59.511961288636236
8,63.67842751189958
9,58.78374795877185
10,63.62129567184659
11,24.85403019125076
12,59.17642673177859
13,33.01164828914581
14,65.04271311017268
15,52.79076731983007
16,53.97406591104242
17,26.531532129009634
18,59.424338778479765
19,62.448859824898754
20,58.96862817633948
21,41.32031699764733
22,29.658846339295696
23,56.344258246789465
24,52.239472723465504
25,61.626133283806304
26,43.070058943153185
27,63.40008578192873
28,60.190810610884064
29,107.58332438259977
30,127.7348035170968
31,140.37704273031275
32,133.53279655745789
33,98.63883562019474
34,33.842934556359324
35,118.76508413775284
36,37.57988604886812
37,150.75823355074743
38,102.82679096186085
39,37.77912517411075
40,55.95915604559443
41,78.1907682852188
42,78.41852594542789
43,35.47094957487392
44,35.43359513858263
45,159.0975523979462
46,34.375222068026545
47,113.16084317300046
48,104.90111757299317
49,42.59939686332748
50,94.39582336070679
51,218.75064854076672
52,38.64880600106155
53,99.71968909323442
54,111.55335017909968
55,36.93527466500526
56,93.741079709902
57,36.43223718542496
58,100.26008752550524
59,74.94962537117361
60,104.37086889908137
61,226.11829356727253
62,96.93487768282576
63,41.04404710573715
64,104.18804933840207
65,42.66007249824134
66,92.37006080942683
67,155.84976273280486
68,33.99125360001378
69,38.624431834328256
70,101.50596041866056
71,106.08976423340262
72,199.73974090279702
73,44.41230150910737
74,109.58951247681635
75,98.0085178379599
76,109.1755239575374
77,37.7381121317769
78,77.60825152391602
79,117.57014778420056
80,42.66058436327396
81,95.53206574328829
